"DOI","tax_group","latitude","longitude","N","region","code","site","Fst_out","Fst_out_signif"
"eva.12741","Bivalve",47.7933,-64.9938,"40","NB","CRQ","Caraquet","NA","NA"
"eva.12741","Bivalve",47.9017,-64.5666,"39","NB","MIS","Miscou","NA","NA"
"eva.12741","Bivalve",47.7599,-64.7544,"30","NB","SSI","Saint-Simon","NA","NA"
"eva.12741","Bivalve",47.6781,-64.827,"38","NB","INK","Inkerman","NA","NA"
"eva.12741","Bivalve",47.3342,-64.9965,"40","NB","TAB","Tabusintac","NA","NA"
"eva.12741","Bivalve",47.0963,-65.1467,"37","NB","MIR","Miramichi","NA","NA"
"eva.12741","Bivalve",46.6611,-64.8646,"39","NB","RIC","Richibucto","NA","NA"
"eva.12741","Bivalve",46.4834,-64.6849,"40","NB","BOU","Bouctouche","NA","NA"
"eva.12741","Bivalve",46.3489,-64.6231,"38","NB","COC","Cocagne","NA","NA"
"eva.12741","Bivalve",46.2517,-64.5565,"39","NB","SHD","Shediac","NA","NA"
"eva.12741","Bivalve",46.1661,-64.145,"38","NB","SHM","Shemogue","NA","NA"
"eva.12741","Bivalve",45.7332,-62.7449,"33","NS","CRB","Caribou","NA","NA"
"eva.12741","Bivalve",46.4742,-63.9447,"35","PEI","MAL","Malpeque","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-29.267,16.856,"40","NA","PN","Porth Nolloth","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-30.333,17.266,"40","NA","HB","Hondeklipbaai","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-31.283,17.856,"40","NA","BB","Brandsebaai","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-32.101,18.297,"40","NA","LB","Lambertsbai","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-31.971,17.875,"40","NA","JB","Jacobsbaii","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-33.914,18.383,"40","NA","SP","Sea Point","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-34.368,18.915,"40","NA","BT","Battys Bay","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-34.831,20.014,"40","NA","CA","Cape Agulhas","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-34.196,22.155,"39","NA","MB","Mossel Bay","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-34.0852,23.073,"40","NA","KY","Knysna","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-34.202,24.842,"40","NA","CF","Cape St. Francis","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-33.604,26.907,"40","NA","PA","Port Alfred","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-32.764,28.252,"40","NA","HH","Haga Haga","NA","NA"
"s12862-020-01679-4(1)","Gastropod",-31.827,29.307,"30","NA","HL","Hluleka","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-29.267,16.856,"40","NA","PN","Porth Nolloth","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-30.333,17.266,"40","NA","HB","Hondeklipbaai","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-31.8198,18.2312,"40","NA","DB","Doringbaii","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-32.101,18.297,"40","NA","LB","Lambertsbai","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-31.971,17.875,"40","NA","JB","Jacobsbaii","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-33.914,18.383,"40","NA","SP","Sea Point","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-34.368,18.915,"40","NA","BT","Battys Bay","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-34.831,20.014,"39","NA","CA","Cape Agulhas","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-34.196,22.155,"39","NA","MB","Mossel Bay","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-34.0852,23.073,"40","NA","KY","Knysna","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-34.202,24.842,"40","NA","CF","Cape St. Francis","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-33.604,26.907,"40","NA","PA","Port Alfred","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-32.764,28.252,"40","NA","HH","Haga Haga","NA","NA"
"s12862-020-01679-4(2)","Echinoderm",-31.98828,29.14959,"40","NA","CB","Coffee Bay","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-31.971,17.875,"38","NA","JB","Jacobsbaii","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-33.35698,18.1516,"40","NA","YZ","Yzerfontein","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-33.914,18.383,"40","NA","SP","Sea Point","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-34.368,18.915,"40","NA","BT","Battys Bay","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-34.580813,19.339,"40","NA","GB","Gansbaii","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-34.831,20.014,"40","NA","CA","Cape Agulhas","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-34.4274,21.339669,"40","NA","JF","Jongesfontein","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-34.196,22.155,"40","NA","MB","Mossel Bay","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-34.089704,23.058701,"40","NA","KY","Knysna","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-34.202,24.842,"37","NA","CF","Cape St. Francis","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-32.764,28.252,"40","NA","HH","Haga Haga","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-31.98828,29.14959,"39","NA","CB","Coffee Bay","NA","NA"
"s12862-020-01679-4(3)","Crustacean",-30.852354,30.394507,"40","NA","MG","Margate","NA","NA"
"mec.14526","Gastropod",-34.319,115.067,"29","NA","OM","Outback Middle (OM)","0","no"
"mec.14526","Gastropod",-34.379,115.178,"28","NA","CP","Coral Patch (CP)","0.001","no"
"mec.14526","Gastropod",-34.873,116.035,"29","NA","WO","Windy Outside (WO)","0.018","no"
"mec.14526","Gastropod",-35.033,117.181,"29","NA","PB","Parrys Bay (PB)","0.085","signif"
"mec.14526","Gastropod",-35.003,118.174,"29","NA","II","Inner Island (II)","0.486","signif"
"mec.14526","Gastropod",-34.364,119.528,"29","NA","WP","Whalebone Pt (WP)","0.182","signif"
"mec.14526","Gastropod",-33.972,120.17,"28","NA","2MP","2 Mile Primary (2MP)","0.414","signif"
"mec.14526","Gastropod",-33.972,120.506,"29","NA","MS","Masons (MS)","0.373","signif"
"mec.14526","Gastropod",-33.856,121.2,"28","NA","FC","Fanny Cove (FC)","0.091","signif"
"mec.14526","Gastropod",-33.909,121.819,"29","NA","BR","Burton Rocks (BR)","0.087","signif"
"mec.14526","Gastropod",-34.035,122.238,"28","NA","RI","Rob Island (RI)","0.065","signif"
"mec.14526","Gastropod",-33.899,122.751,"29","NA","BI","Ben Island (BI)","0.071","signif"
"mec.14526","Gastropod",-34.023,123.259,"28","NA","GL","Gulch (GL)","0.075","signif"
"genes11121503","Kelp",41.621624,-8.842757,"NA","NA","CAS","Castelo do Neiva","NA","NA"
"genes11121503","Kelp",43.403193,-8.33264,"NA","NA","POR","Porti±o de Dexo","NA","NA"
"genes11121503","Kelp",47.491326,-2.953724,"NA","NA","LOC","Locmariaquer","NA","NA"
"genes11121503","Kelp",47.820255,-4.401469,"NA","NA","STG","Saint Gu?nol?","NA","NA"
"genes11121503","Kelp",48.479023,-4.792607,"NA","NA","LAN","Lanildut","NA","NA"
"genes11121503","Kelp",48.889614,-3.016897,"NA","NA","LEZ","L?zardrieux","NA","NA"
"genes11121503","Kelp",49.726228,-1.486632,"NA","NA","FER","Fermanville","NA","NA"
"genes11121503","Kelp",50.851796,1.499115,"NA","NA","AUD","Audresselles","NA","NA"
"genes11121503","Kelp",54.19193,7.869016,"NA","NA","HEL","Helgoland","NA","NA"
"genes11121503","Kelp",56.307873,-5.734236,"NA","NA","ELL","Ellenabeich","NA","NA"
"genes11121503","Kelp",79.333862,9.007976,"NA","NA","NYA","Ny-?lesund","NA","NA"
"mec.15857","Coral",-22.439972,166.425954,"NA","NA","15","NA","NA","NA"
"mec.15857","Coral",-22.486598,166.727423,"NA","NA","5","NA","NA","NA"
"mec.15857","Coral",-22.204231,166.260167,"NA","NA","20","NA","NA","NA"
"mec.15857","Coral",-22.423084,167.013587,"NA","NA","10","NA","NA","NA"
"mec.15857","Coral",-21.469362,165.053123,"NA","NA","9","NA","NA","NA"
"mec.15857","Coral",-21.133012,164.740393,"NA","NA","4","NA","NA","NA"
"mec.15857","Coral",-20.884673,164.484526,"NA","NA","19","NA","NA","NA"
"mec.15857","Coral",-20.767928,164.326453,"NA","NA","17","NA","NA","NA"
"mec.15857","Coral",-20.582193,164.122932,"NA","NA","16a","NA","NA","NA"
"mec.15857","Coral",-20.561934,164.176164,"NA","NA","16b","NA","NA","NA"
"mec.15857","Coral",-21.570243,166.232052,"NA","NA","3","NA","NA","NA"
"mec.15857","Coral",-21.819195,165.705502,"NA","NA","14","NA","NA","NA"
"mec.15857","Coral",-20.178287,164.04061,"NA","NA","7","NA","NA","NA"
"mec.15857","Coral",-20.251358,164.003399,"NA","NA","11","NA","NA","NA"
"mec.15857","Coral",-20.152999,163.994869,"NA","NA","1","NA","NA","NA"
"mec.15857","Coral",-20.268773,164.490342,"NA","NA","6","NA","NA","NA"
"mec.15857","Coral",-20.208029,164.324214,"NA","NA","2","NA","NA","NA"
"mec.15857","Coral",-21.252976,165.742749,"NA","NA","13","NA","NA","NA"
"mec.15857","Coral",-21.112906,165.565341,"NA","NA","18","NA","NA","NA"
"mec.15857","Coral",-21.685699,166.437693,"NA","NA","8","NA","NA","NA"
"mec.15857","Coral",-22.486598,166.727423,"NA","NA","5","NA","NA","NA"
"mec.15857","Coral",-22.204231,166.260167,"NA","NA","20","NA","NA","NA"
"mec.15857","Coral",-22.423084,167.013587,"NA","NA","10","NA","NA","NA"
"mec.15857","Coral",-21.469362,165.053123,"NA","NA","9","NA","NA","NA"
"mec.15857","Coral",-21.133012,164.740393,"NA","NA","4","NA","NA","NA"
"mec.15857","Coral",-20.884673,164.484526,"NA","NA","19","NA","NA","NA"
"mec.15857","Coral",-20.767928,164.326453,"NA","NA","17","NA","NA","NA"
"mec.15857","Coral",-20.582193,164.122932,"NA","NA","16a","NA","NA","NA"
"mec.15857","Coral",-20.561934,164.176164,"NA","NA","16b","NA","NA","NA"
"mec.15857","Coral",-21.570243,166.232052,"NA","NA","3","NA","NA","NA"
"mec.15857","Coral",-20.178287,164.04061,"NA","NA","7","NA","NA","NA"
"mec.15857","Coral",-20.251358,164.003399,"NA","NA","11","NA","NA","NA"
"mec.15857","Coral",-20.268773,164.490342,"NA","NA","6","NA","NA","NA"
"mec.15857","Coral",-20.208029,164.324214,"NA","NA","2","NA","NA","NA"
"mec.15857","Coral",-21.252976,165.742749,"NA","NA","13","NA","NA","NA"
"mec.15857","Coral",-21.112906,165.565341,"NA","NA","18","NA","NA","NA"
"mec.15857","Coral",-21.685699,166.437693,"NA","NA","8","NA","NA","NA"
"mec.15857","Coral",-22.439972,166.425954,"NA","NA","15","NA","NA","NA"
"mec.15857","Coral",-22.486598,166.727423,"NA","NA","5","NA","NA","NA"
"mec.15857","Coral",-22.204231,166.260167,"NA","NA","20","NA","NA","NA"
"mec.15857","Coral",-22.423084,167.013587,"NA","NA","10","NA","NA","NA"
"mec.15857","Coral",-21.469362,165.053123,"NA","NA","9","NA","NA","NA"
"mec.15857","Coral",-21.133012,164.740393,"NA","NA","4","NA","NA","NA"
"mec.15857","Coral",-20.884673,164.484526,"NA","NA","19","NA","NA","NA"
"mec.15857","Coral",-20.767928,164.326453,"NA","NA","17","NA","NA","NA"
"mec.15857","Coral",-20.582193,164.122932,"NA","NA","16a","NA","NA","NA"
"mec.15857","Coral",-20.561934,164.176164,"NA","NA","16b","NA","NA","NA"
"mec.15857","Coral",-21.570243,166.232052,"NA","NA","3","NA","NA","NA"
"mec.15857","Coral",-21.819195,165.705502,"NA","NA","14","NA","NA","NA"
"mec.15857","Coral",-20.178287,164.04061,"NA","NA","7","NA","NA","NA"
"mec.15857","Coral",-20.251358,164.003399,"NA","NA","11","NA","NA","NA"
"mec.15857","Coral",-20.268773,164.490342,"NA","NA","6","NA","NA","NA"
"mec.15857","Coral",-20.208029,164.324214,"NA","NA","2","NA","NA","NA"
"mec.15857","Coral",-21.685699,166.437693,"NA","NA","8","NA","NA","NA"
"mec.13811","Crustacean",41.373,-70.775,NA,"NA","RHO","RHO","NA","NA"
"mec.13811","Crustacean",42.001,-69.968,NA,"NA","BUZ","BUZ","NA","NA"
"mec.13811","Crustacean",41.272,-65.796,NA,"NA","BRO","BRO","NA","NA"
"mec.13811","Crustacean",41.901,-65.375,NA,"NA","OFF","OFF","NA","NA"
"mec.13811","Crustacean",42.759,-70.506,NA,"NA","MAR","MAR","NA","NA"
"mec.13811","Crustacean",43.618,-70.035,NA,"NA","BOO","BOO","NA","NA"
"mec.13811","Crustacean",43.666,-65.863,NA,"NA","LOB","LOB","NA","NA"
"mec.13811","Crustacean",44.596,-67.344,NA,"NA","SEA","SEA","NA","NA"
"mec.13811","Crustacean",45.452,-61.002,NA,"NA","CAN","CAN","NA","NA"
"mec.13811","Crustacean",46.272,-60.178,NA,"NA","BRA","BRA","NA","NA"
"mec.13811","Crustacean",46.839,-60.228,NA,"NA","DIN","DIN","NA","NA"
"mec.13811","Crustacean",46.562,-63.761,NA,"NA","MAL","MAL","NA","NA"
"mec.13811","Crustacean",47.4431,-61.971,NA,"NA","MAG","MAG","NA","NA"
"mec.13811","Crustacean",47.9056,-64.471,NA,"NA","CAR","CAR","NA","NA"
"mec.13811","Crustacean",48.569,-64.152,NA,"NA","GAS","GAS","NA","NA"
"mec.13811","Crustacean",49.774,-62.704,NA,"NA","ANT","ANT","NA","NA"
"mec.13811","Crustacean",50.924,-57.249,NA,"NA","SJI","SJI","NA","NA"
"mec.13811","Crustacean",49.689,-55.576,NA,"NA","TRI","TRI","NA","NA"
"eva.12932","Bivalve",52.201,-6.7847,"22","NA","BAN","Bannow Bay","NA","NA"
"eva.12932","Bivalve",51.971,-5.247,"17","NA","GAN","Gann","NA","NA"
"eva.12932","Bivalve",53.424,-3.237,"22","NA","DEE","Dee","NA","NA"
"eva.12932","Bivalve",52.521,-4.107,"11","NA","DYF","Dyfi","NA","NA"
"eva.12932","Bivalve",52.186,-6.786,"13","NA","FLX","Flaxfort Strand","NA","NA"
"eva.12932","Bivalve",53.306,-4.205,"18","NA","RWB","Red wharf","NA","NA"
"eva.12932","Bivalve",51.669,-4.254,"30","NA","BUR","Burry Inlet","NA","NA"
"mec.14352","Fish",-12.516964,130.322701,NA,"NA",NA,"Bass reef","NA","NA"
"mec.14352","Fish",-12.928214,130.195348,NA,"NA",NA,"Point Blaze","NA","NA"
"mec.14352","Fish",NA,NA,NA,"NA",NA,"Sail City","NA","NA"
"mec.14352","Fish",-14.095312,125.862406,NA,"NA",NA,"Long reef","NA","NA"
"mec.14352","Fish",-14.069,125.652,NA,"NA",NA,"Pascal Island","NA","NA"
"mec.14352","Fish",-14.051,125.3501,NA,"NA",NA,"Jamieson Reef","NA","NA"
"mec.14352","Fish",-14.267,125.583,NA,"NA",NA,"Cape Voltaire","NA","NA"
"mec.14352","Fish",-14.3671,125.407,NA,"NA",NA,"Cleghorn Island","NA","NA"
"mec.14352","Fish",-14.559,125.188,NA,"NA",NA,"Bigge island","NA","NA"
"mec.14352","Fish",-27.698,114.105,NA,"NA",NA,"Blue Holes","NA","NA"
"mec.14352","Fish",-15.27036,124.64766,NA,"NA",NA,"Adieu Point","NA","NA"
"mec.14352","Fish",-15.5289,124.4028,NA,"NA",NA,"Wailgwin Island West","NA","NA"
"mec.14352","Fish",-15.892605,124.44755,NA,"NA",NA,"Hall Point","NA","NA"
"mec.14352","Fish",15.9077,124.3456,NA,"NA",NA,"Ngalanguru Island","NA","NA"
"mec.14352","Fish",-15.946,124.2077,NA,"NA",NA,"Montgomery Island","NA","NA"
"mec.14352","Fish",-16.391309,123.854592,NA,"NA",NA,"Dugong Island","NA","NA"
"mec.14352","Fish",-16.0229,123.5385,NA,"NA",NA,"Bathurst Island","NA","NA"
"mec.14352","Fish",-16.079,123.55,NA,"NA",NA,"Irvine Island","NA","NA"
"mec.14352","Fish",NA,NA,NA,"NA",NA,"Fraser island","NA","NA"
"mec.14352","Fish",-16.0583,123.403,NA,"NA",NA,"Longitude Island","NA","NA"
"mec.14352","Fish",-16.132705,123.31341,NA,"NA",NA,"Asshlyn Island","NA","NA"
"mec.14352","Fish",-16.177,123.341,NA,"NA",NA,"Pope Island","NA","NA"
"mec.14352","Fish",-16.315,123.314,NA,"NA",NA,"Gregory Island","NA","NA"
"mec.14352","Fish",-16.429,123.357,NA,"NA",NA,"Mermaid Island","NA","NA"
"mec.14352","Fish",-16.426524,123.196789,NA,"NA",NA,"Jorrol","NA","NA"
"mec.14352","Fish",-16.416054,123.169996,NA,"NA",NA,"Hal´s Pool","NA","NA"
"mec.14352","Fish",-16.409,123.126,NA,"NA",NA,"Tallon Island","NA","NA"
"mec.14352","Fish",-15.105,124.355,NA,"NA",NA,"Jackson Island","NA","NA"
"mec.14352","Fish",NA,NA,NA,"NA",NA,"Bowlun","NA","NA"
"mec.14352","Fish",-16.466141,123.036023,NA,"NA",NA,"Shenton Bluff","NA","NA"
"mec.14352","Fish",-16.437301,122.90804,NA,"NA",NA,"Ngamakoon","NA","NA"
"mec.14352","Fish",-16.760832,122.585163,NA,"NA",NA,"Emeriau Point","NA","NA"
"mec.14352","Fish",-18.716969,121.631357,NA,"NA",NA,"Cape Bossut","NA","NA"
"mec.14352","Fish",-19.958,119.758,NA,"NA",NA,"Cape Keraudren","NA","NA"
"mec.14352","Fish",-20.633,117.71009,NA,"NA",NA,"Depuch Island","NA","NA"
"mec.14352","Fish",-20.638952,117.672628,NA,"NA",NA,"West Moore","NA","NA"
"mec.14352","Fish",-20.45,116.821,NA,"NA",NA,"Gidley Island","NA","NA"
"mec.14352","Fish",-20.486,116.5973,NA,"NA",NA,"Rosemary Island","NA","NA"
"mec.14352","Fish",-20.851472,116.19888,NA,"NA",NA,"Cape Preston","NA","NA"
"mec.14352","Fish",-21.105,115.786,NA,"NA",NA,"Passage Island","NA","NA"
"mec.14352","Fish",-20.361143,115.541952,NA,"NA",NA,"Montebello North","NA","NA"
"mec.14352","Fish",-20.476925,115.539471,NA,"NA",NA,"Montebello South","NA","NA"
"mec.14352","Fish",-21.458,115.005,NA,"NA",NA,"Thevenard Islands","NA","NA"
"mec.14352","Fish",-21.562861,115.005,NA,"NA",NA,"Paroo Shoal","NA","NA"
"mec.14352","Fish",-21.7155,114.7673,NA,"NA",NA,"Locker point","NA","NA"
"mec.14352","Fish",-22.294,114.154,NA,"NA",NA,"Bay of Rest","NA","NA"
"mec.14352","Fish",-22.4184,114.1838,NA,"NA",NA,"Roberts Island","NA","NA"
"mec.14352","Fish",-21.9118,113.977,NA,"NA",NA,"Tantabiddi","NA","NA"
"mec.14352","Fish",-22.0283,113.9145,NA,"NA",NA,"Milyering","NA","NA"
"mec.14352","Fish",-24.8486,113.1549,NA,"NA",NA,"Bernier Island","NA","NA"
"mec.14352","Fish",-25.0617,113.134,NA,"NA",NA,"Dorre Island","NA","NA"
"ddi.13016","Echinoderm",48.207,-4.377,"23","NA","CZ","Crozon","NA","NA"
"ddi.13016","Echinoderm",29.391,-10.176,"22","NA","SI","Sidi Ifni","NA","NA"
"ddi.13016","Echinoderm",36,-5.609,"22","NA","TA","Tarifa","NA","NA"
"ddi.13016","Echinoderm",36.721,-3.728,"22","NA","LH","La Herradura","NA","NA"
"ddi.13016","Echinoderm",36.992,-1.886,"22","NA","CA","Carboneras","NA","NA"
"ddi.13016","Echinoderm",37.635,-0.689,"22","NA","PA","Palos","NA","NA"
"ddi.13016","Echinoderm",38.753,0.2291,"22","NA","XA","Xàbia","NA","NA"
"ddi.13016","Echinoderm",42.391,3.155,"22","NA","CO","Colera","NA","NA"
"ddi.13016","Echinoderm",45.691,13.741,"22","NA","TR","Trieste","NA","NA"
"ddi.13016","Echinoderm",40.662,19.28,"22","NA","FI","Fier","NA","NA"
"ddi.13016","Echinoderm",36.764,28.613,"20","NA","DL","Dalyan","NA","NA"
"eva.13248","Fish",58.73,-78.38,"24","NA","IPI","Ipikituk River","NA","NA"
"eva.13248","Fish",58.7,-78.36,"17","NA","SPI","Saputaliuk River","NA","NA"
"eva.13248","Fish",58.56,-78.21,"24","NA","FMI","Five Mile Inlet","NA","NA"
"eva.13248","Fish",60.75,-77.63,"28","NA","KOA","Korak River","NA","NA"
"eva.13248","Fish",60.79,-78.02,"15","NA","CHU","Chukotat River","NA","NA"
"eva.13248","Fish",61.36,-77.7,"21","NA","KOV","Kovik River","NA","NA"
"eva.13248","Fish",62.13,-74.62,"30","NA","BDE","Deception Bay","NA","NA"
"eva.13248","Fish",62.06,-74.53,"44","NA","DUQ","Duquet Lake","NA","NA"
"eva.13248","Fish",62.04,-74.25,"38","NA","FRM","François-Malherbe Lake","NA","NA"
"eva.13248","Fish",62.06,-72.65,"29","NA","DOU","Douglas Harbour","NA","NA"
"eva.13248","Fish",60.01,-70.7,"30","NA","PAY","Payne River","NA","NA"
"eva.13248","Fish",59.3,-69.79,"39","NA","CHR","Red Dog River","NA","NA"
"eva.13248","Fish",59.25,-69.66,"25","NA","VOL","Voltz River","NA","NA"
"eva.13248","Fish",59.32,-69.63,"24","NA","HAB†","Hopes Advance Bay","NA","NA"
"eva.13248","Fish",58.77,-70.11,"40","NA","FEU","Leaf River","NA","NA"
"eva.13248","Fish",58.65,-69.97,"36","NA","BER","Bérard River","NA","NA"
"eva.13248","Fish",58.69,-65.95,"37","NA","GEO","George River","NA","NA"
"eva.13248","Fish",59.06,-65.4,"17","NA","AKI","Akilasaaluk River","NA","NA"
"eva.13248","Fish",64.01,-72.64,"23","NA","AVA","Avas Inlet","NA","NA"
"eva.13248","Fish",62.82,-69.82,"38","NA","LHO","Lake Harbour","NA","NA"
"eva.13248","Fish",62.12,-67.32,"27","NA","PRZ","Pritzler Harbour","NA","NA"
"eva.13248","Fish",56.74,-62.54,"18","NA","KAM‡","Kamanatsuk River","NA","NA"
"eva.13248","Fish",56.49,-62.15,"26","NA","ANA‡","Anaktalik Bay","NA","NA"
"eva.13219","Rodholith",60.541,4.846,"1","NA","Nor","Norway, Hordaland","NA","NA"
"eva.13219","Rodholith",54.379,-5.564,"12","NA","Zar","Northern Ireland, Zara Shoal","NA","NA"
"eva.13219","Rodholith",51.704,-5.076,"1","NA","Mil","Wales, Milford Haven","NA","NA"
"eva.13219","Rodholith",50.164,-5.028,"10","NA","Fal","England, Fal Estuary","NA","NA"
"eva.13219","Rodholith",50.05,-5.05,"6","NA","Man","England, The Manacles","NA","NA"
"eva.13219","Rodholith",48.711,-3.951,"12","NA","Mor","France, Morlaix","NA","NA"
"eva.13219","Rodholith",47.795,-3.887,"9","NA","Tre","France, Trévignon","NA","NA"
"eva.13219","Rodholith",46.233,-1.381,"2","NA","Roc","France, La Rochelle","NA","NA"
"eva.13219","Rodholith",42.789,-9.02,"12","NA","Bor","Spain, Bornalle","NA","NA"
"eva.13219","Rodholith",42.395,-8.915,"11","NA","Ons","Spain, Illa de Ons","NA","NA"
"eva.13219","Rodholith",37.027,-8.317,"2","NA","Arm","Portugal, Armaçao de Pêra","NA","NA"
"eva.13219","Rodholith",55.983,-5.632,"12","NA","ScoPpur","Scotland, Loch Sween","NA","NA"
"eva.13219","Rodholith",50.164,-5.028,"2","NA","Lcor05","England, Fal Estuary","NA","NA"
"eva.13219","Rodholith",48.711,-3.951,"1","NA","Lcor08","France, Morlaix","NA","NA"
"eva.13219","Rodholith",47.795,-3.887,"1","NA","Lcor09","France, Trévignon","NA","NA"
"eva.13219","Rodholith",46.233,-1.381,"1","NA","Lcor11","France, La Rochelle","NA","NA"
"eva.13322","Bivalve",38.735323,-76.30243,"50","MD","HCR1","Harris Creek","NA","NA"
"eva.13322","Bivalve",38.711485,-76.316936,"50","MD","HCR2","Harris Creek","NA","NA"
"eva.13322","Bivalve",38.731909,-76.302688,"50","MD","HCR4","Harris Creek","NA","NA"
